id,text,label,topic,source
SI001,AST가 뭐야?,simple_lookup,검진항목,curated
SI002,ALT는 어떤 검사 수치야?,simple_lookup,검진항목,curated
SI003,감마지티피가 뭔지 알려줘,simple_lookup,검진항목,curated
SI004,혈색소는 무엇을 보는 항목이야?,simple_lookup,검진항목,curated
SI005,크레아티닌 검사는 뭘 확인하는 거야?,simple_lookup,검진항목,curated
SI006,사구체여과율이 뭔가요?,simple_lookup,검진항목,curated
SI007,중성지방 수치는 무엇을 뜻해?,simple_lookup,검진항목,curated
SI008,HDL 콜레스테롤이 뭐야?,simple_lookup,검진항목,curated
SI009,LDL 콜레스테롤은 왜 확인해?,simple_lookup,검진항목,curated
SI010,당화혈색소가 어떤 지표인지 설명해줘,simple_lookup,검진항목,curated
SI011,AST 정상 범위 알려줘,simple_lookup,정상범위,curated
SI012,ALT 정상 수치는 어느 정도야?,simple_lookup,정상범위,curated
SI013,공복혈당 정상범위가 어떻게 돼?,simple_lookup,정상범위,curated_typo
SI014,당화혈색소 6.0이면 보통 어떤 범위야?,simple_lookup,정상범위,curated
SI015,혈압 130에 85면 일반적으로 높은 편이야?,simple_lookup,정상범위,curated
SI016,총콜레스테롤 220이면 기준상 높은 거야?,simple_lookup,정상범위,curated
SI017,LDL 150이면 보통 어느 단계야?,simple_lookup,정상범위,curated
SI018,중성지방 180이면 정상 범위를 넘은 거야?,simple_lookup,정상범위,curated
SI019,혈색소 12는 보통 낮은 수치야?,simple_lookup,정상범위,curated
SI020,크레아티닌 1.2면 일반 기준에서 어때?,simple_lookup,정상범위,curated
SI021,당뇨병은 어떤 질환이야?,simple_lookup,질환정보,curated
SI022,고혈압이 뭐야?,simple_lookup,질환정보,curated
SI023,고지혈증은 왜 생겨?,simple_lookup,질환정보,curated
SI024,지방간이 어떤 질환인지 알려줘,simple_lookup,질환정보,curated
SI025,빈혈은 어떤 상태를 말해?,simple_lookup,질환정보,curated
SI026,대사증후군이 뭔지 설명해줘,simple_lookup,질환정보,curated
SI027,갑상선기능저하증은 어떤 병이야?,simple_lookup,질환정보,curated
SI028,신장 기능이 나빠지면 어떤 문제가 생겨?,simple_lookup,질환정보,curated
SI029,당뇨병 초기 증상에는 뭐가 있어?,simple_lookup,질환정보,curated
SI030,고혈압은 증상이 없는 경우도 많아?,simple_lookup,질환정보,curated
SI031,두통의 일반적인 원인은 뭐야?,simple_lookup,증상정보,curated
SI032,어지럼증은 보통 어떤 원인으로 생겨?,simple_lookup,증상정보,curated
SI033,피로가 계속될 때 흔한 원인이 뭐야?,simple_lookup,증상정보,curated
SI034,손발이 저린 이유에는 뭐가 있어?,simple_lookup,증상정보,curated
SI035,잠을 자도 피곤한 이유를 일반적으로 설명해줘,simple_lookup,증상정보,curated
SI036,공복에 속이 쓰린 원인은 뭐야?,simple_lookup,증상정보,curated
SI037,운동할 때 숨이 차는 이유가 뭐야?,simple_lookup,증상정보,curated
SI038,식후에 졸린 건 왜 그런 거야?,simple_lookup,증상정보,curated
SI039,눈 밑이 떨리는 흔한 이유 알려줘,simple_lookup,증상정보,curated
SI040,밤에 자주 깨는 원인에는 뭐가 있어?,simple_lookup,증상정보,curated
SI041,메트포르민은 무슨 약이야?,simple_lookup,약물정보,curated
SI042,아토르바스타틴은 어떤 약이야?,simple_lookup,약물정보,curated
SI043,암로디핀은 어디에 쓰는 약인가요?,simple_lookup,약물정보,curated
SI044,로사르탄의 역할을 알려줘,simple_lookup,약물정보,curated
SI045,철분제는 언제 복용하는 약이야?,simple_lookup,약물정보,curated
SI046,비타민D 보충제는 왜 먹어?,simple_lookup,약물정보,curated
SI047,진통제 종류에는 어떤 게 있어?,simple_lookup,약물정보,curated
SI048,소염진통제는 어떤 상황에 사용해?,simple_lookup,약물정보,curated
SI049,위산 억제제는 무슨 역할을 해?,simple_lookup,약물정보,curated
SI050,항히스타민제가 뭔지 알려줘,simple_lookup,약물정보,curated
SI051,메트포르민의 흔한 부작용 알려줘,simple_lookup,약물부작용,curated
SI052,스타틴을 먹을 때 나타날 수 있는 부작용은?,simple_lookup,약물부작용,curated
SI053,철분제를 먹으면 변비가 생길 수 있어?,simple_lookup,약물부작용,curated
SI054,혈압약 복용 시 어지럼증이 생길 수 있나요?,simple_lookup,약물부작용,curated
SI055,진통제를 자주 먹으면 어떤 문제가 생길 수 있어?,simple_lookup,약물부작용,curated
SI056,메트포르민과 철분제를 같이 먹어도 돼?,simple_lookup,약물상호작용,curated
SI057,혈압약과 감기약을 함께 복용해도 괜찮아?,simple_lookup,약물상호작용,curated
SI058,타이레놀과 이부프로펜을 같이 먹는 건 어때?,simple_lookup,약물상호작용,curated
SI059,스타틴과 자몽을 같이 먹으면 안 돼?,simple_lookup,약물상호작용,curated
SI060,철분제와 커피를 같이 먹어도 되나요?,simple_lookup,약물상호작용,curated
SI061,고혈압은 일반적으로 어떻게 치료해?,simple_lookup,일반치료,curated
SI062,당뇨병 치료에는 어떤 방법들이 있어?,simple_lookup,일반치료,curated
SI063,고지혈증은 보통 어떻게 관리해?,simple_lookup,일반치료,curated
SI064,빈혈은 일반적으로 어떻게 치료하나요?,simple_lookup,일반치료,curated
SI065,지방간은 보통 어떤 방식으로 관리해?,simple_lookup,일반치료,curated
SI066,혈압 관리에 도움 되는 생활습관 알려줘,simple_lookup,생활관리,curated
SI067,혈당 관리를 위해 식사할 때 뭘 조심해야 해?,simple_lookup,생활관리,curated
SI068,콜레스테롤을 낮추는 생활습관은 뭐야?,simple_lookup,생활관리,curated
SI069,간 건강에 도움이 되는 습관 알려줘,simple_lookup,생활관리,curated
SI070,신장 건강을 지키려면 어떻게 해야 해?,simple_lookup,생활관리,curated
SI071,성인은 하루에 몇 걸음 정도 걷는 게 좋아?,simple_lookup,운동,curated
SI072,일주일에 운동을 얼마나 해야 하나요?,simple_lookup,운동,curated
SI073,유산소 운동과 근력 운동을 어떻게 섞는 게 좋아?,simple_lookup,운동,curated
SI074,운동 전후 스트레칭은 왜 해야 해?,simple_lookup,운동,curated
SI075,처음 운동할 때 주의할 점 알려줘,simple_lookup,운동,curated
SI076,잠을 잘 자기 위한 방법이 뭐야?,simple_lookup,수면,curated
SI077,성인은 하루 몇 시간 자는 게 적당해?,simple_lookup,수면,curated
SI078,자기 전에 휴대폰을 보면 수면에 영향이 있어?,simple_lookup,수면,curated
SI079,낮잠은 몇 분 정도가 적당해?,simple_lookup,수면,curated
SI080,수면 리듬을 일정하게 만드는 방법 알려줘,simple_lookup,수면,curated
SI081,스트레스를 줄이는 간단한 방법 알려줘,simple_lookup,스트레스,curated
SI082,금연하면 몸에 어떤 변화가 생겨?,simple_lookup,금연,curated
SI083,술을 줄이면 혈압 관리에 도움이 돼?,simple_lookup,절주,curated
SI084,물을 하루에 얼마나 마시는 게 좋아?,simple_lookup,수분,curated
SI085,식이섬유가 많은 음식은 뭐가 있어?,simple_lookup,식단,curated
SI086,건강검진 결과는 HEAPY에 어떻게 등록해?,simple_lookup,서비스사용법,curated
SI087,복약 정보 어디서 추가해?,simple_lookup,서비스사용법,curated_typo
SI088,HEAPY에서 어떤 건강 정보를 확인할 수 있나요?,simple_lookup,서비스사용법,curated
SI089,검진 결과를 수정하려면 어디로 들어가야 해?,simple_lookup,서비스사용법,curated
SI090,복약 기록은 어디서 볼 수 있어?,simple_lookup,서비스사용법,curated
SI091,생활습관 데이터는 어떻게 확인해?,simple_lookup,서비스사용법,curated
SI092,HEAPY가 제공하는 건강 분석 기능 알려줘,simple_lookup,서비스사용법,curated
SI093,약 정보를 삭제하려면 어떻게 해야 해?,simple_lookup,서비스사용법,curated
SI094,건강검진 사진 업로드 방법 알려줘,simple_lookup,서비스사용법,curated
SI095,내 건강 데이터는 어떤 방식으로 관리돼?,simple_lookup,서비스사용법,curated
SI096,혈압을 재는 올바른 자세 알려줘,simple_lookup,혈압,curated
SI097,식후 혈당은 언제 재는 게 일반적이야?,simple_lookup,혈당,curated
SI098,체질량지수 BMI가 뭔지 설명해줘,simple_lookup,검진항목,curated
SI099,허리둘레는 왜 건강검진에서 확인해?,simple_lookup,검진항목,curated
SI100,고혈압 예방에 좋은 식습관 알려줘,simple_lookup,생활관리,curated
CO001,내 공복혈당이 130인데 높은 거야?,comprehensive,개인검진,curated
CO002,내 AST 수치가 70으로 나왔는데 어떤 상태야?,comprehensive,개인검진,curated
CO003,이번 건강검진 결과 전체를 분석해줘,comprehensive,개인검진,curated
CO004,내 ALT가 지난번보다 올랐는지 확인해줘,comprehensive,개인검진,curated
CO005,내 콜레스테롤 수치들이 어떤 상태인지 설명해줘,comprehensive,개인검진,curated
CO006,내 혈색소 수치가 낮은 편인지 봐줘,comprehensive,개인검진,curated
CO007,내 크레아티닌 수치로 신장 상태를 설명해줘,comprehensive,개인검진,curated
CO008,이번 검진에서 이상한 항목만 골라줘,comprehensive,개인검진,curated
CO009,내 건강검진 결과를 지난 검사와 비교해줘,comprehensive,개인검진,curated
CO010,검진 결과 중 관리가 필요한 항목을 정리해줘,comprehensive,개인검진,curated
CO011,최근 내 혈압 어케 변했는지 알려줘,comprehensive,혈압,curated_typo
CO012,이번 주 내 평균 혈압을 확인해줘,comprehensive,혈압,curated
CO013,요즘 아침 혈압이 저녁보다 높은지 봐줘,comprehensive,혈압,curated
CO014,내 혈압 기록에서 가장 높았던 날이 언제야?,comprehensive,혈압,curated
CO015,최근 혈압 변동이 큰 편인지 분석해줘,comprehensive,혈압,curated
CO016,내 공복혈당이 최근에 올라가고 있는지 확인해줘,comprehensive,혈당,curated
CO017,지난 한 달 혈당 변화 추이를 보여줘,comprehensive,혈당,curated
CO018,식후 혈당과 공복혈당 차이를 내 기록으로 비교해줘,comprehensive,혈당,curated
CO019,내 당화혈색소가 이전보다 좋아졌는지 알려줘,comprehensive,혈당,curated
