file,disease,old_superclass,new_category,confidence,category_source
1743_낙상.json,낙상,건강문제,environmental,medium,rule:발생원+건강문제내용
1747_물에 빠짐.json,물에 빠짐,건강문제,environmental,medium,rule:발생원+건강문제내용
5407_왜소음경(소아).json,왜소음경(소아),건강문제,environmental,high,rule:환경유해물질제목
6309_스포츠 손상과 안전.json,스포츠 손상과 안전,건강문제,environmental,medium,rule:발생원+건강문제내용
6310_스포츠 손상과 안전(슬관절(무릎 관절) 손상).json,스포츠 손상과 안전(슬관절(무릎 관절) 손상),건강문제,environmental,medium,rule:발생원+건강문제내용
6312_스포츠 손상과 안전(족관절(발목 관절) 손상).json,스포츠 손상과 안전(족관절(발목 관절) 손상),건강문제,environmental,medium,rule:발생원+건강문제내용
6533_아동학대.json,아동학대,건강문제,environmental,medium,rule:발생원+건강문제내용
6704_치아외상(치아손상).json,치아외상(치아손상),건강문제,environmental,medium,rule:발생원+건강문제내용
2107_소아의 대소변 가리기.json,소아의 대소변 가리기,건강문제,lifestyle,medium,llm:소아 배변훈련 발달지침(생활지도)
2967_심낭염.json,심낭염,건강문제,lifestyle,high,rule:실천섹션
3607_처방전과 약설명서 읽는 방법! 알려드리겠습니다!.json,처방전과 약설명서 읽는 방법! 알려드리겠습니다!,검사방법,lifestyle,high,rule:실천섹션+생활제목
3987_자궁경부암 백신.json,자궁경부암 백신,검사방법,lifestyle,low,"llm:HPV 예방접종 안내(예방), 질환/검사 아님"
5293_운동.json,운동,건강문제,lifestyle,high,rule:실천섹션+생활제목
5416_정상청소년의 성장과 발달.json,정상청소년의 성장과 발달,건강문제,lifestyle,medium,llm:정상 청소년 성장·발달 안내(질환 아님)
5428_노인 약물복용.json,노인 약물복용,검사방법,lifestyle,medium,llm:노인 약물복용 관리·주의 안내(자가관리)
5467_영아돌연사증후군.json,영아돌연사증후군,건강문제,lifestyle,high,rule:실천섹션
5481_가정 내 아동안전.json,가정 내 아동안전,건강문제,lifestyle,medium,llm:아동 안전사고 예방 실천/교육
5483_동물 및 곤충에 의한 응급상황.json,동물 및 곤충에 의한 응급상황,건강문제,lifestyle,low,llm:교상 응급처치·예방 안내
5503_장루 및 장루 관리.json,장루 및 장루 관리,검사방법,lifestyle,medium,llm:장루 자가관리·도구관리 안내
5696_상처관리와 흉터예방.json,상처관리와 흉터예방,검사방법,lifestyle,medium,llm:상처 자가관리·흉터예방 안내
5999_고혈압 환자의 식이요법.json,고혈압 환자의 식이요법,건강문제,lifestyle,high,rule:실천섹션+생활제목
6257_해외여행 시 주의해야 할 감염병! 알려드리겠습니다!.json,해외여행 시 주의해야 할 감염병! 알려드리겠습니다!,건강문제,lifestyle,high,rule:실천섹션+생활제목
6259_성폭력.json,성폭력,건강문제,lifestyle,low,"llm:성폭력 예방·대처 안내(사회건강 주제), 진단명 아님"
6291_구강병 예방 및 관리방법! 알려드리겠습니다!.json,구강병 예방 및 관리방법! 알려드리겠습니다!,검사방법,lifestyle,high,rule:실천섹션+생활제목
6301_정상임신관리(임신의 진단과 관리).json,정상임신관리(임신의 진단과 관리),건강문제,lifestyle,high,rule:실천섹션
6321_치통 및 만성 통증(구강안면부의 만성 통증).json,치통 및 만성 통증(구강안면부의 만성 통증),건강문제,lifestyle,high,rule:실천섹션
6388_정상임신관리(임신 전 관리).json,정상임신관리(임신 전 관리),건강문제,lifestyle,high,rule:실천섹션+생활제목
6483_정상소아의 성장.json,정상소아의 성장,건강문제,lifestyle,medium,llm:정상 소아 성장 안내(질환 아님)
6484_정상소아의 성장(성장).json,정상소아의 성장(성장),건강문제,lifestyle,medium,llm:정상 소아 성장 안내
6485_정상소아의 성장(발달).json,정상소아의 성장(발달),건강문제,lifestyle,medium,llm:정상 소아 발달 안내
6545_손씻기.json,손씻기,검사방법,lifestyle,high,rule:실천섹션+생활제목
6586_성공적인 모유 수유.json,성공적인 모유 수유,건강문제,lifestyle,medium,llm:모유수유 실천 안내(자가관리)
6618_정상 월경의 이해.json,정상 월경의 이해,건강문제,lifestyle,medium,"llm:정상 월경 이해(교육), 질환 아님"
6694_비만.json,비만,건강문제,lifestyle,high,rule:실천섹션+생활제목
6723_인지기능저하예방법.json,인지기능저하예방법,건강문제,lifestyle,medium,llm:치매/인지저하 예방법 실천 안내
6752_건강노화.json,건강노화,건강문제,lifestyle,medium,llm:건강노화 생활습관 실천 안내
5796_투석환자의 식이요법.json,투석환자의 식이요법,생활습관 관리,procedure,medium,rule:시술제목
6572_불소도포.json,불소도포,생활습관 관리,procedure,medium,rule:시술제목
6713_심장박동조율기.json,심장박동조율기,검사방법,procedure,medium,llm:서맥 치료용 기기 삽입 시술(치료법/기기)
1041_병리조직검사.json,병리조직검사,생활습관 관리,test,high,rule:검사섹션+검사제목
1061_복부초음파검사.json,복부초음파검사,생활습관 관리,test,high,rule:검사섹션+검사제목
2387_갑상선 검사.json,갑상선 검사,생활습관 관리,test,medium,rule:검사제목
2388_갑상선 검사(혈액검사 및 요검사).json,갑상선 검사(혈액검사 및 요검사),생활습관 관리,test,high,rule:검사섹션+검사제목
2389_갑상선 검사(방사성 요오드 섭취율).json,갑상선 검사(방사성 요오드 섭취율),생활습관 관리,test,high,rule:검사섹션+검사제목
2390_갑상선 검사(초음파).json,갑상선 검사(초음파),생활습관 관리,test,high,rule:검사섹션+검사제목
2391_갑상선 검사(전산화단층촬영(CT)과 자기공명영상(MRI)).json,갑상선 검사(전산화단층촬영(CT)과 자기공명영상(MRI)),생활습관 관리,test,medium,rule:검사제목
2392_갑상선 검사(양전자방출단층촬영(PET)).json,갑상선 검사(양전자방출단층촬영(PET)),생활습관 관리,test,medium,rule:검사제목
2393_갑상선 검사(갑상선 세포검사 및 조직검사).json,갑상선 검사(갑상선 세포검사 및 조직검사),생활습관 관리,test,high,rule:검사섹션+검사제목
3432_심초음파검사.json,심초음파검사,생활습관 관리,test,high,rule:검사섹션+검사제목
3433_대변 및 잠혈검사.json,대변 및 잠혈검사,생활습관 관리,test,high,rule:검사섹션+검사제목
3434_대변 및 잠혈검사(기생충 검사).json,대변 및 잠혈검사(기생충 검사),생활습관 관리,test,high,rule:검사섹션+검사제목
3435_대변 및 잠혈검사(분변 잠혈검사).json,대변 및 잠혈검사(분변 잠혈검사),생활습관 관리,test,high,rule:검사섹션+검사제목
3436_대변 및 잠혈검사(백혈구 검사).json,대변 및 잠혈검사(백혈구 검사),생활습관 관리,test,medium,rule:검사제목
3727_전해질 검사.json,전해질 검사,생활습관 관리,test,high,rule:검사섹션+검사제목
3728_전해질 검사(산염기 균형).json,전해질 검사(산염기 균형),생활습관 관리,test,high,rule:검사섹션+검사제목
3827_심전도검사.json,심전도검사,생활습관 관리,test,high,rule:검사섹션+검사제목
5251_내시경적 역행성 담췌관조영술.json,내시경적 역행성 담췌관조영술,생활습관 관리,test,high,rule:검사섹션+검사제목
5254_대장내시경검사.json,대장내시경검사,생활습관 관리,test,high,rule:검사섹션+검사제목
5258_위내시경.json,위내시경,생활습관 관리,test,high,rule:검사섹션+검사제목
5410_산전 기형아 검사.json,산전 기형아 검사,생활습관 관리,test,medium,rule:검사제목
5432_특수병리검사.json,특수병리검사,생활습관 관리,test,medium,rule:검사제목
5444_간기능검사.json,간기능검사,생활습관 관리,test,high,rule:검사섹션+검사제목
5445_복수검사.json,복수검사,생활습관 관리,test,high,rule:검사섹션+검사제목
5446_총혈구검사.json,총혈구검사,생활습관 관리,test,high,rule:검사섹션+검사제목
5447_혈청검사.json,혈청검사,생활습관 관리,test,medium,rule:검사제목
5460_양전자방출단층촬영술.json,양전자방출단층촬영술,생활습관 관리,test,high,rule:검사섹션+검사제목
5471_상부위장관 촬영.json,상부위장관 촬영,생활습관 관리,test,high,rule:검사섹션+검사제목
5472_소장 촬영.json,소장 촬영,생활습관 관리,test,high,rule:검사섹션+검사제목
5473_하부위장관 촬영.json,하부위장관 촬영,생활습관 관리,test,high,rule:검사섹션+검사제목
5492_흉수검사.json,흉수검사,생활습관 관리,test,high,rule:검사섹션+검사제목
5513_면역병리검사.json,면역병리검사,생활습관 관리,test,high,rule:검사섹션+검사제목
5514_분자병리검사.json,분자병리검사,생활습관 관리,test,high,rule:검사섹션+검사제목
5515_삼중 또는 사중 표지자 검사(Triple 또는 Quad test)와 통합선별검사 (Integrated test).json,삼중 또는 사중 표지자 검사(Triple 또는 Quad test)와 통합선별검사 (Integrated test),생활습관 관리,test,high,rule:검사섹션+검사제목
5516_초음파 태아 목덜미 투명대 측정.json,초음파 태아 목덜미 투명대 측정,생활습관 관리,test,high,rule:검사섹션우세
5517_양수 검사.json,양수 검사,생활습관 관리,test,high,rule:검사섹션+검사제목
5518_융모막 융모 검사.json,융모막 융모 검사,생활습관 관리,test,high,rule:검사섹션+검사제목
5530_태아 DNA 선별검사 (NIPT 검사).json,태아 DNA 선별검사 (NIPT 검사),생활습관 관리,test,high,rule:검사섹션+검사제목
5531_임상 화학 검사.json,임상 화학 검사,생활습관 관리,test,high,rule:검사섹션+검사제목
5532_종양표지자 검사.json,종양표지자 검사,생활습관 관리,test,high,rule:검사섹션+검사제목
5533_감염질환의 혈청검사.json,감염질환의 혈청검사,생활습관 관리,test,high,rule:검사섹션+검사제목
5807_소변검사.json,소변검사,생활습관 관리,test,high,rule:검사섹션+검사제목
5817_초음파를 이용한 세포조직검사.json,초음파를 이용한 세포조직검사,생활습관 관리,test,high,rule:검사섹션+검사제목
6249_신생아 대사 이상 검사.json,신생아 대사 이상 검사,생활습관 관리,test,high,rule:검사섹션+검사제목
6255_방광경 검사.json,방광경 검사,생활습관 관리,test,high,rule:검사섹션+검사제목
6258_폐기능검사.json,폐기능검사,생활습관 관리,test,high,rule:검사섹션+검사제목
6267_응고검사.json,응고검사,생활습관 관리,test,medium,rule:검사제목
6268_응고검사(혈전질환의 검사).json,응고검사(혈전질환의 검사),생활습관 관리,test,high,rule:검사섹션+검사제목
6269_응고검사(출혈질환의 검사).json,응고검사(출혈질환의 검사),생활습관 관리,test,high,rule:검사섹션+검사제목
6277_갑상선스캔.json,갑상선스캔,생활습관 관리,test,high,rule:검사섹션+검사제목
6278_뼈스캔.json,뼈스캔,생활습관 관리,test,high,rule:검사섹션+검사제목
6282_기관지내시경 검사.json,기관지내시경 검사,생활습관 관리,test,high,rule:검사섹션+검사제목
6293_세포검사.json,세포검사,생활습관 관리,test,high,rule:검사섹션+검사제목
6300_골수검사.json,골수검사,생활습관 관리,test,high,rule:검사섹션+검사제목
6539_근전도 신경전도검사.json,근전도 신경전도검사,생활습관 관리,test,high,rule:검사섹션+검사제목
6559_혈관조영술.json,혈관조영술,생활습관 관리,test,high,rule:검사섹션+검사제목
6709_지질 검사.json,지질 검사,생활습관 관리,test,high,rule:검사섹션+검사제목
